source,round,log,m,recv,experts,layout,rank0_us,mean_rank_us,max_rank_us,tflops,hbm_gbs
baseline,14,round_14_mimo.log,128,984,48,BN256-standard,581.6,574.4,583.7,127.7,1791.0
baseline,14,round_14_mimo.log,256,2037,48,BN256-standard,578.3,573.4,579.9,265.9,1842.0
baseline,14,round_14_mimo.log,512,4097,48,BN256-standard,1055.0,1047.4,1057.0,293.2,1054.0
baseline,14,round_14_mimo.log,1024,8140,48,BN256-standard,1550.0,1546.8,1551.0,396.5,776.0
baseline,14,round_14_mimo.log,2048,16409,48,BN128-split,2866.0,2864.2,2869.0,432.3,485.0
baseline,14,round_14_mimo.log,4096,32686,48,BN128-split,5470.0,5470.3,5478.0,451.1,321.0
baseline,14,round_14_mimo.log,8192,65538,48,BN128-split,10202.0,10199.5,10207.0,485.0,245.0
baseline,15,round_15_mimo.log,8,64,39,BN256-standard,517.4,508.5,518.6,9.3,1603.0
baseline,15,round_15_mimo.log,16,118,45,BN256-standard,690.2,666.3,690.2,12.9,1388.0
baseline,15,round_15_mimo.log,32,241,48,BN256-standard,606.6,596.1,609.6,30.0,1689.0
baseline,15,round_15_mimo.log,64,546,48,BN256-standard,553.1,545.7,555.6,74.5,1865.0
baseline,15,round_15_mimo.log,128,984,48,BN256-standard,603.1,588.6,603.6,123.2,1727.0
baseline,15,round_15_mimo.log,256,2037,48,BN256-standard,572.8,576.5,586.9,268.5,1860.0
baseline,15,round_15_mimo.log,512,4097,48,BN256-standard,1054.0,1050.9,1060.0,293.5,1055.0
baseline,15,round_15_mimo.log,1024,8140,48,BN256-standard,1564.0,1559.1,1566.0,392.9,769.0
baseline,15,round_15_mimo.log,2048,16409,48,BN128-split,2877.0,2869.8,2879.0,430.6,483.0
baseline,15,round_15_mimo.log,4096,32686,48,BN128-split,5452.0,5447.6,5454.0,452.6,322.0
baseline,15,round_15_mimo.log,8192,65538,48,BN128-split,10207.0,10199.1,10207.0,484.8,245.0
baseline,16,round_16_mimo.log,8,64,39,BN256-standard,515.0,509.2,515.5,9.4,1611.0
baseline,16,round_16_mimo.log,16,118,45,BN256-standard,579.4,577.1,586.7,15.4,1654.0
baseline,16,round_16_mimo.log,32,241,48,BN256-standard,586.0,585.3,597.2,31.0,1749.0
baseline,16,round_16_mimo.log,64,546,48,BN256-standard,574.9,567.7,580.5,71.7,1794.0
baseline,16,round_16_mimo.log,128,984,48,BN256-standard,561.3,554.9,561.3,132.4,1855.0
baseline,16,round_16_mimo.log,256,2037,48,BN256-standard,577.7,571.9,581.0,266.2,1844.0
baseline,16,round_16_mimo.log,512,4097,48,BN256-standard,1043.0,1038.4,1045.0,296.6,1066.0
baseline,16,round_16_mimo.log,1024,8140,48,BN256-standard,1573.0,1564.0,1577.0,390.7,765.0
baseline,16,round_16_mimo.log,2048,16409,48,BN128-split,2879.0,2872.1,2881.0,430.3,482.0
baseline,16,round_16_mimo.log,4096,32686,48,BN128-split,5458.0,5451.8,5462.0,452.1,322.0
baseline,16,round_16_mimo.log,8192,65538,48,BN128-split,10202.0,10197.4,10203.0,485.0,245.0
baseline,17,round_17_mimo.log,8,64,39,BN256-standard,581.8,567.6,581.8,8.3,1426.0
baseline,17,round_17_mimo.log,16,118,45,BN256-standard,572.4,567.1,572.8,15.6,1674.0
baseline,17,round_17_mimo.log,32,241,48,BN256-standard,583.1,584.5,592.9,31.2,1757.0
baseline,17,round_17_mimo.log,64,546,48,BN256-standard,553.4,549.1,554.6,74.5,1864.0
baseline,17,round_17_mimo.log,128,984,48,BN256-standard,641.1,631.3,647.0,115.9,1624.0
